Common Name,Genus or Genus and species
Alfalfa Cyst Nematode,Heterodera medicaginis
Alfalfa Stem Nematode,Ditylenchus dipsaci
Allen's Lesion Nematode,Pratylenchus alleni
Amaranth Cyst Nematode,Cactodera amaranthi
Amaryllis Lesion Nematode,Pratylenchus hippeastri
American Dagger Nematode,Xiphinema americanum
Apple Root-knot Nematode,Meloidogyne mali
Auckland Cyst Nematode,Heterodera aucklandia
Australian Cereal Cyst Nematode,Heterodera australis
Awl Nematode,Dolichodorus
Bamboo Cyst Nematode,Heterodera koreana
Banana Burrowing Nematode,Radopholus similis
Banana Spiral Nematode,Helicotylenchus multicinctus
Barley Cyst Nematode,Heterodera hordecalis
Barley Root-knot Nematode,Meloidogyne naasi
Bean Root-knot Nematode,Meloidogyne petuniae
Bentgrass Nematode,Anguina agrostis
Birch Cyst Nematode,Cactodera betulae
Blueberry Root-knot Nematode,Meloidogyne carolinensis
Boxwood Lesion Nematode,Pratylenchus vulnus
Boxwood Spiral Nematode,Rotylenchus buxophilus
Brazilian Root-knot Nematode,Meloidogyne exigua
Bud and Leaf Nematode,Aphelenchoides
Bud Nematode,Aphelenchoides
Bulb and Stem nematode,Ditylenchus dipsaci
Burrowing Nematode,Radopholus
Cabbage Cyst Nematode,Heterodera cruciferae
Cactus Cyst Nematode,Cactodera
Camellia Root-knot Nematode,Meloidogyne camelliae
Carrot Cyst Nematode,Heterodera carotae
Carrot Root-knot Nematode,Meloidogyne polycephannulata
Cereal Cyst Nematode,Heterodera avenae
Cereal Cyst Nematode,Heterodera filipjevi
Cereal Cyst Nematode,Heterodera latipons
Chambers' Dagger Nematode,Xiphinema chambersi
Chinese Cereal Cyst Nematode,Heterodera sturhani
Chrysanthemum Foliar Nematode,Aphelenchoides ritzemabosi
Citrus Nematode,Tylenchulus semipenetrans
Citrus Spine Nematode,Crossonema civellae
Clover Cyst Nematode,Heterodera trifolii
Clover Root-knot Nematode,Meloidogyne trifoliophila
Cobb's Awl Nematode,Dolichodorus heterocephalus
Cobb's Lance Nematode,Hoplolaimus galeatus
Cobb's Lesion Nematode,Pratylenchus penetrans
Cobb's Spiral Nematode,Helicotylenchus multicinctus
Coconut Palm Nematode,Bursaphelenchus cocophilus
Coffee Lesion Nematode,Pratylenchus coffeae
Coffee Root-knot Nematode,Meloidogyne exigua
Columbia Lance Nematode,Hoplolaimus columbus
Columbia Root-knot Nematode,Meloidogyne chitwoodi
Corn Cyst Nematode,Heterodera zeae
Corn Lesion Nematode,Pratylenchus zeae
Costa Rica Root-knot Nematode,Meloidogyne lopezi
Cotton Root-knot Nematode,Meloidogyne incognita
Crimp Nematode,Aphelenchoides besseyi
Cyst Nematode,Cactodera
Cyst Nematode,Globodera
Cyst Nematode,Heterodera
Cyst Nematode,Punctodera
Cystoid Nematode,Cryphodera
Cystoid Nematode,Meloidodera
Dagger Nematode,Xiphinema
Dropseed Gall Nematode,Afrina sporoboliae
Ear-cockle Nematode,Anguina tritici
Estonian Cyst Nematode,Cactodera estonica
European Cereal Cyst Nematode,Heterodera avenae
European Dagger Nematode,Xiphinema diversicaudatum
