ImageIndex,identification_method,phylum,class,order,family,genus,species,sex,lifestage,caption,media_descriptor,image_file,copyright_institution,photographer,source
ImgIndex_0001,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046202_B+1553274596.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0002,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046202_A+1553274586.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0003,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046202+1553274734.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0004,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046219+1553275898.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0005,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046219_A+1553275776.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0006,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,Mermis Janzen1912,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046219_B+1553275788.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0007,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046223_Tail+1554479422.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0008,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046223+1554478142.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0009,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046223_Head+1554479414.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0010,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046227_B+1548784964.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0011,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046227_A+1548784482.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0012,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046227+1553276070.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0013,Some,Nematoda,Enoplea,Mermithida,Mermithidae,,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046237_A+1548707280.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0014,Some,Nematoda,Enoplea,Mermithida,Mermithidae,,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046237_B+1548707840.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0015,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046237+1553276338.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0016,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Abathymermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046245_2_Head+1552592940.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0017,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Abathymermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046245_2+1552571700.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0018,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Abathymermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046245_2_Tail+1552592940.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0019,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046258_A+1553276518.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0020,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046258_B+1548710462.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0021,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046258+1553276692.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0022,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ01,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046266_A+1553276732.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0023,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ01,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046266_B+1548779114.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0024,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ01,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046266+1553276904.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0025,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046268_A+1548785738.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0026,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046268_B+1548786424.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0027,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Trophomermis,Trophomermis Janzen1918DHJ02,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046268+1553277052.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0028,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046290_1+1552577520.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0029,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046290_1_Head+1552593000.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0030,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046290_1_Tail+1552593120.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0031,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046292_Tail+1552593300.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
